Código Región,Nombre Región,Abreviatura Región,Código Provincia,Nombre Provincia,Código Comuna 2018,Nombre Comuna
1,Tarapacá,TPCA,11,Iquique,1101,IQUIQUE
1,Tarapacá,TPCA,11,Iquique,1107,ALTO HOSPICIO
1,Tarapacá,TPCA,14,Tamarugal,1401,POZO ALMONTE
1,Tarapacá,TPCA,14,Tamarugal,1402,CAMIÑA
1,Tarapacá,TPCA,14,Tamarugal,1403,COLCHANE
1,Tarapacá,TPCA,14,Tamarugal,1404,HUARA
1,Tarapacá,TPCA,14,Tamarugal,1405,PICA
2,Antofagasta,ANTOF,21,Antofagasta,2101,ANTOFAGASTA
2,Antofagasta,ANTOF,21,Antofagasta,2102,MEJILLONES
2,Antofagasta,ANTOF,21,Antofagasta,2103,SIERRA GORDA
2,Antofagasta,ANTOF,21,Antofagasta,2104,TALTAL
2,Antofagasta,ANTOF,22,El Loa,2201,CALAMA
2,Antofagasta,ANTOF,22,El Loa,2202,OLLAGÜE
2,Antofagasta,ANTOF,22,El Loa,2203,SAN PEDRO DE ATACAMA
2,Antofagasta,ANTOF,23,Tocopilla,2301,TOCOPILLA
2,Antofagasta,ANTOF,23,Tocopilla,2302,MARÍA ELENA
3,Atacama,ATCMA,31,Copiapó,3101,COPIAPÓ
3,Atacama,ATCMA,31,Copiapó,3102,CALDERA
3,Atacama,ATCMA,31,Copiapó,3103,TIERRA AMARILLA
3,Atacama,ATCMA,32,Chañaral,3201,CHAÑARAL
3,Atacama,ATCMA,32,Chañaral,3202,DIEGO DE ALMAGRO
3,Atacama,ATCMA,33,Huasco,3301,VALLENAR
3,Atacama,ATCMA,33,Huasco,3302,ALTO DEL CARMEN
3,Atacama,ATCMA,33,Huasco,3303,FREIRINA
3,Atacama,ATCMA,33,Huasco,3304,HUASCO
4,Coquimbo,COQ,41,Elqui,4101,LA SERENA
4,Coquimbo,COQ,41,Elqui,4102,COQUIMBO
4,Coquimbo,COQ,41,Elqui,4103,ANDACOLLO
4,Coquimbo,COQ,41,Elqui,4104,LA HIGUERA
4,Coquimbo,COQ,41,Elqui,4105,PAIGUANO
4,Coquimbo,COQ,41,Elqui,4106,VICUÑA
4,Coquimbo,COQ,42,Choapa,4201,ILLAPEL
4,Coquimbo,COQ,42,Choapa,4202,CANELA
4,Coquimbo,COQ,42,Choapa,4203,LOS VILOS
4,Coquimbo,COQ,42,Choapa,4204,SALAMANCA
4,Coquimbo,COQ,43,Limarí,4301,OVALLE
4,Coquimbo,COQ,43,Limarí,4302,COMBARBALÁ
4,Coquimbo,COQ,43,Limarí,4303,MONTE PATRIA
4,Coquimbo,COQ,43,Limarí,4304,PUNITAQUI
4,Coquimbo,COQ,43,Limarí,4305,RÍO HURTADO
5,Valparaíso,VALPO,51,Valparaíso,5101,VALPARAÍSO
5,Valparaíso,VALPO,51,Valparaíso,5102,CASABLANCA
5,Valparaíso,VALPO,51,Valparaíso,5103,CONCÓN
